Bldg,Room,7AM,8AM,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM,6PM,7PM,8PM,9PM,10PM
JKB,2114,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True
JKB,3012,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
JKB,3016,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JKB,3024,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
JKB,3104,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
JKB,3106,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
JKB,3112,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True
JRCB,205,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True
JRCB,206,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True
JRCB,208,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True
JRCB,275,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True
JRCB,276,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True
JRCB,306,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True
JRCB,314,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True
JSB,103,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
JSB,106,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True
JSB,107,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
JSB,110,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True
JSB,114,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True
JSB,170,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True
JSB,171,True,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True
JSB,174,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True
JSB,175,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True
JSB,178,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
JSB,179,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True
JSB,182,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True
JSB,202,True,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True
JSB,203,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
KMBL,1150,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
KMBL,230,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
KMBL,235,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
KMBL,240,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True
KMBL,245,True,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True
KMBL,262,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
KMBL,270,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
KMBL,280,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
KMBL,285,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
KMBL,482,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True
KMBL,490,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True
KMBL,680,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
LSB,2006,True,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True
MARB,108,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
MARB,109,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
MARB,120,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True
MARB,121,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
MARB,122,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
MARB,123,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MARB,126,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
MARB,127,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
MARB,128,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
MARB,130,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True
MARB,131,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
MARB,206,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True
MARB,221,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True
MARB,B105,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
MARB,B106,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MARB,B107,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MARB,B112,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MARB,B113,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True
MARB,B114,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
MARB,B119,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
MARB,B124,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True
MCKB,220,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
MCKB,230,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True
MCKB,238,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
MCKB,26,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MCKB,270,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True
MCKB,276,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MCKB,277,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
MCKB,280,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
MCKB,283,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True
MCKB,319,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
MCKB,331,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
MCKB,341,True,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True
MCKB,355,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True
MCKB,359,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True
MLBM,2015,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
MSRB,202,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True
MSRB,211,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True
MSRB,241,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True
MSRB,250,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True
RB,106,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True
RB,202,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True
RB,204,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True
RB,206,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True
RB,227,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RB,257,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True
RB,271,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
SNLB,170,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True
SNLB,224,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
SNLB,235A,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SNLB,290J,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True
TLRB,125,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True
TLRB,177,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True
TMCB,104,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
TMCB,108,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TMCB,111,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True
TMCB,112,True,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True
TMCB,116,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
TMCB,120,True,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True
TMCB,121,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TMCB,133,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
TMCB,134,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
TMCB,135,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
TMCB,136,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
TMCB,197,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True
TMCB,299,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TMCB,323,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True
TNRB,164,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
TNRB,170,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
TNRB,240,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
TNRB,264,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TNRB,270,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TNRB,280,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
TNRB,284,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True
TNRB,324,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True
TNRB,374,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True
TNRB,484,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
